FECHA,TICKET,SWAP_SPREAD
14/02/2023,9X1,-12.385598
14/02/2023,13X1,-20
14/02/2023,26X1,-35.296258
14/02/2023,39X1,-39.898381
14/02/2023,52X1,-31.841684
14/02/2023,65X1,-12.076433
14/02/2023,91X1,-0.2377064
14/02/2023,130X1,1.56957821
14/02/2023,195X1,6.92920793
14/02/2023,260X1,3.50318959
14/02/2023,390X1,3.28516689
13/02/2023,RR,NA
13/02/2023,TIIE,7.48999999
13/02/2023,3X1,13.9998303
13/02/2023,6X1,1.84217031
13/02/2023,9X1,-1.3095034
13/02/2023,13X1,-14
13/02/2023,26X1,-34.942275
13/02/2023,39X1,-43.752266
13/02/2023,52X1,-32.399335
13/02/2023,65X1,-18.217861
13/02/2023,91X1,-2.7931647
13/02/2023,130X1,-1.6967453
13/02/2023,195X1,5.42536762
13/02/2023,260X1,-0.6743468
13/02/2023,390X1,-1.2972811
10/02/2023,RR,NA
10/02/2023,TIIE,15.7499999
10/02/2023,3X1,20.7219688
10/02/2023,6X1,17.4592179
10/02/2023,9X1,13.7663405
10/02/2023,13X1,-1.4999999
10/02/2023,26X1,-29.994865
10/02/2023,39X1,-37.221714
10/02/2023,52X1,-34.006103
10/02/2023,65X1,-18.40741
10/02/2023,91X1,-3.445618
10/02/2023,130X1,-4.3921976
10/02/2023,195X1,3.00532651
10/02/2023,260X1,-4.7831124
10/02/2023,390X1,-6.6558537
09/02/2023,RR,NA
09/02/2023,TIIE,-12
09/02/2023,3X1,12.4440905
09/02/2023,6X1,18.114587
09/02/2023,9X1,17.3056849
09/02/2023,13X1,4
09/02/2023,26X1,-25.582379
09/02/2023,39X1,-33.165416
09/02/2023,52X1,-31.739031
09/02/2023,65X1,-18.211476
09/02/2023,91X1,-14.048713
09/02/2023,130X1,-6.6368307
09/02/2023,195X1,1.59615989
09/02/2023,260X1,-6.6974787
09/02/2023,390X1,-10.656314
08/02/2023,RR,NA
08/02/2023,TIIE,6.05
08/02/2023,3X1,7.83240979
08/02/2023,6X1,4.80707128
08/02/2023,9X1,5.69212701
08/02/2023,13X1,-10.5
08/02/2023,26X1,-25.18977
08/02/2023,39X1,-40.698151
08/02/2023,52X1,-31.836379
08/02/2023,65X1,-19.930334
08/02/2023,91X1,-10.71765
08/02/2023,130X1,-11.242838
08/02/2023,195X1,-5.9747186
08/02/2023,260X1,-16.601552
08/02/2023,390X1,-14.260737
07/02/2023,RR,NA
07/02/2023,TIIE,3.11999999
07/02/2023,3X1,5.11035509
07/02/2023,6X1,1.80707128
07/02/2023,9X1,2.0767976
07/02/2023,13X1,-15.5
07/02/2023,26X1,-24.367392
07/02/2023,39X1,-38.324907
07/02/2023,52X1,-28.095945
07/02/2023,65X1,-15.96529
07/02/2023,91X1,-9.1098242
07/02/2023,130X1,-11.905768
07/02/2023,195X1,-3.2780427
07/02/2023,260X1,-15.447016
07/02/2023,390X1,-14.331931
03/02/2023,13X1,-10.999999
03/02/2023,26X1,-26.623764
03/02/2023,39X1,-40.616233
03/02/2023,52X1,-27.365853
03/02/2023,65X1,-17.880897
03/02/2023,91X1,-9.0109544
03/02/2023,130X1,-11.348366
03/02/2023,195X1,-4.9830941
03/02/2023,260X1,-16.72529
03/02/2023,390X1,-14.470424
03/02/2023,RR,NA
03/02/2023,TIIE,-0.5099999
03/02/2023,3X1,1.99932147
03/02/2023,6X1,1.34575637
03/02/2023,9X1,3.53838123
02/02/2023,3X1,-1.6125267
02/02/2023,6X1,-1.1156082
02/02/2023,9X1,1.07660185
02/02/2023,13X1,-11
02/02/2023,26X1,-34.951714
02/02/2023,39X1,-47.950569
02/02/2023,52X1,-33.922396
02/02/2023,65X1,-24.6807
02/02/2023,91X1,-18.724606
02/02/2023,130X1,-17.056553
02/02/2023,195X1,-12.938479
02/02/2023,260X1,-24.282684
02/02/2023,390X1,-21.332265
02/02/2023,RR,NA
02/02/2023,TIIE,6.34999999
01/02/2023,RR,NA
01/02/2023,TIIE,7.74
01/02/2023,3X1,-5.3356135
01/02/2023,6X1,-3.0770224
01/02/2023,9X1,0.92295144
01/02/2023,13X1,-11.5
01/02/2023,26X1,-28.398719
01/02/2023,39X1,-46.247125
01/02/2023,52X1,-33.85886
01/02/2023,65X1,-21.601976
01/02/2023,91X1,-18.158096
01/02/2023,130X1,-13.812021
01/02/2023,195X1,-6.9969013
01/02/2023,260X1,-13.340016
01/02/2023,390X1,-12.151897
31/01/2023,RR,NA
31/01/2023,TIIE,3.24999999
31/01/2023,3X1,-4.3905305
31/01/2023,6X1,-3.4618144
31/01/2023,9X1,1.19206176
31/01/2023,13X1,-11
31/01/2023,26X1,-26.300812
31/01/2023,39X1,-44.739316
31/01/2023,52X1,-29.159217
31/01/2023,65X1,-18.479565
31/01/2023,91X1,-12.664069
31/01/2023,130X1,-12.039555
31/01/2023,195X1,-3.8436192
31/01/2023,260X1,-9.314855
31/01/2023,390X1,-6.6690275
30/01/2023,RR,NA
30/01/2023,TIIE,4.61999999
30/01/2023,3X1,-0.723531
30/01/2023,6X1,-0.5004664
30/01/2023,9X1,4.65380098
30/01/2023,13X1,-9
30/01/2023,26X1,-21.795739
30/01/2023,39X1,-39.216836
30/01/2023,52X1,-26.616842
30/01/2023,65X1,-17.429785
30/01/2023,91X1,-10.093869
30/01/2023,130X1,-9.3567072
30/01/2023,195X1,0.7744037
30/01/2023,260X1,-6.4620811
30/01/2023,390X1,-3.0249713
27/01/2023,RR,NA
27/01/2023,TIIE,4.5
27/01/2023,3X1,-0.223531
27/01/2023,6X1,-1.0004664
27/01/2023,9X1,2.76921069
27/01/2023,13X1,-14
27/01/2023,26X1,-26.553667
27/01/2023,39X1,-43.077017
27/01/2023,52X1,-32.890317
27/01/2023,65X1,-25.115921
27/01/2023,91X1,-18.465403
27/01/2023,130X1,-16.416455
27/01/2023,195X1,-7.2296588
27/01/2023,260X1,-14.490343
27/01/2023,390X1,-11.062541
26/01/2023,RR,NA
26/01/2023,TIIE,0.55
26/01/2023,3X1,-1.4455522
26/01/2023,6X1,-0.5004664
26/01/2023,9X1,2.26921069
26/01/2023,13X1,-15
26/01/2023,26X1,-28.209656
26/01/2023,39X1,-42.881754
26/01/2023,52X1,-31.623766
26/01/2023,65X1,-24.418111
26/01/2023,91X1,-19.47607
26/01/2023,130X1,-19.066748
26/01/2023,195X1,-9.0203874
26/01/2023,260X1,-15.632124
26/01/2023,390X1,-12.984342
25/01/2023,RR,NA
25/01/2023,TIIE,-0.3499999
25/01/2023,3X1,0.22138453
25/01/2023,6X1,2.19197369
25/01/2023,9X1,3.76921069
25/01/2023,13X1,-16.5
25/01/2023,26X1,-33.388726
25/01/2023,39X1,-40.967342
25/01/2023,52X1,-28.594263
25/01/2023,65X1,-23.223352
25/01/2023,91X1,-17.159653
25/01/2023,130X1,-19.693593
25/01/2023,195X1,-9.5796526
25/01/2023,260X1,-17.507076
25/01/2023,390X1,-15.90482
24/01/2023,RR,NA
24/01/2023,TIIE,-0.8999999
24/01/2023,3X1,-3.723531
24/01/2023,6X1,-0.5770224
24/01/2023,9X1,1.88461036
24/01/2023,13X1,-19.999999
24/01/2023,26X1,-43.072959
24/01/2023,39X1,-42.803464
24/01/2023,52X1,-32.398893
24/01/2023,65X1,-26.657583
24/01/2023,91X1,-19.458266
24/01/2023,130X1,-22.189619
24/01/2023,195X1,-12.734144
24/01/2023,260X1,-20.002441
24/01/2023,390X1,-17.628197
23/01/2023,91X1,-17.091359
23/01/2023,130X1,-19.221101
23/01/2023,195X1,-10.472618
23/01/2023,260X1,-18.642033
23/01/2023,390X1,-16.280685
23/01/2023,RR,NA
23/01/2023,TIIE,22.24
23/01/2023,3X1,9.77535696
23/01/2023,6X1,8.03818548
23/01/2023,9X1,4.84610867
23/01/2023,13X1,-20
23/01/2023,26X1,-45.830567
23/01/2023,39X1,-39.893867
23/01/2023,52X1,-27.835078
23/01/2023,65X1,-21.545755
20/01/2023,39X1,-46.501975
20/01/2023,52X1,-33.086604
20/01/2023,65X1,-26.08832
20/01/2023,91X1,-20.60504
20/01/2023,130X1,-20.315311
20/01/2023,195X1,-13.633973
20/01/2023,260X1,-24.744274
20/01/2023,390X1,-20.47184
20/01/2023,RR,NA
20/01/2023,TIIE,25.99
20/01/2023,3X1,12.8863235
20/01/2023,6X1,8.99953348
20/01/2023,9X1,6.23074915
20/01/2023,13X1,-18
20/01/2023,26X1,-52.69392
19/01/2023,RR,NA
19/01/2023,TIIE,19.8499999
19/01/2023,3X1,12.9984732
19/01/2023,6X1,8.99953347
19/01/2023,9X1,6.99999999
19/01/2023,13X1,-15
19/01/2023,26X1,-57.964069
19/01/2023,39X1,-49.238988
19/01/2023,52X1,-35.865557
19/01/2023,65X1,-28.139516
19/01/2023,91X1,-26.621204
19/01/2023,130X1,-25.417112
19/01/2023,195X1,-21.243125
19/01/2023,260X1,-31.963653
19/01/2023,390X1,-26.734809
18/01/2023,RR,NA
18/01/2023,TIIE,20.72
18/01/2023,3X1,13.9984732
18/01/2023,6X1,10.9995334
18/01/2023,9X1,8.5
18/01/2023,13X1,-15.499999
18/01/2023,26X1,-56.918523
18/01/2023,39X1,-49.001494
18/01/2023,52X1,-35.407833
18/01/2023,65X1,-27.585956
18/01/2023,91X1,-27.748532
18/01/2023,130X1,-28.558537
18/01/2023,195X1,-29.211755
18/01/2023,260X1,-40.153185
18/01/2023,390X1,-33.283076
17/01/2023,RR,NA
17/01/2023,TIIE,7.75
17/01/2023,3X1,19.94
17/01/2023,6X1,32.55
17/01/2023,9X1,44.73
17/01/2023,13X1,40.02
17/01/2023,26X1,7.96
17/01/2023,39X1,-11.24
17/01/2023,52X1,-17.53
17/01/2023,65X1,-19.66
17/01/2023,91X1,-20.42
17/01/2023,130X1,-26.08
17/01/2023,195X1,-26.44
17/01/2023,260X1,-31.72
17/01/2023,390X1,-27.09
16/01/2023,TIIE,20.5
16/01/2023,3X1,30.11
16/01/2023,6X1,34.68
16/01/2023,9X1,43.1
16/01/2023,13X1,38.83
16/01/2023,26X1,11.32
16/01/2023,39X1,-12.87
16/01/2023,52X1,-22.34
16/01/2023,65X1,-23.56
16/01/2023,91X1,-23.1
16/01/2023,130X1,-22.15
16/01/2023,195X1,-26.82
16/01/2023,260X1,-34.3
16/01/2023,390X1,-28.56
16/01/2023,RR,NA
13/01/2023,RR,NA
13/01/2023,TIIE,25
13/01/2023,3X1,29.03
13/01/2023,6X1,35.99
13/01/2023,9X1,45.47
13/01/2023,13X1,37.65
13/01/2023,26X1,14.54
13/01/2023,39X1,-8.38
13/01/2023,52X1,-16.05
13/01/2023,65X1,-17.74
13/01/2023,91X1,-17.73
13/01/2023,130X1,-24.25
13/01/2023,195X1,-26.89
13/01/2023,260X1,-34.04
13/01/2023,390X1,-27.59
12/01/2023,TIIE,17.75
12/01/2023,3X1,18.9
12/01/2023,6X1,33.19
12/01/2023,9X1,43.82
12/01/2023,13X1,38.06
12/01/2023,26X1,13.26
12/01/2023,39X1,-14.26
12/01/2023,52X1,-20.52
12/01/2023,65X1,-22.25
12/01/2023,91X1,-23.97
12/01/2023,130X1,-29.18
12/01/2023,195X1,-32.54
12/01/2023,260X1,-40.06
12/01/2023,390X1,-28.16
12/01/2023,RR,NA
11/01/2023,RR,NA
11/01/2023,TIIE,26.75
11/01/2023,3X1,20.02
11/01/2023,6X1,36.66
11/01/2023,9X1,47
11/01/2023,13X1,40.56
11/01/2023,26X1,12.69
11/01/2023,39X1,-14.1
11/01/2023,52X1,-18.53
11/01/2023,65X1,-20.3
11/01/2023,91X1,-22.45
11/01/2023,130X1,-31.22
11/01/2023,195X1,-31.37
11/01/2023,260X1,-39.75
11/01/2023,390X1,-26.56
10/01/2023,TIIE,30.75
10/01/2023,3X1,20.47
10/01/2023,6X1,34.04
10/01/2023,9X1,42.03
10/01/2023,13X1,32.3
10/01/2023,26X1,6.49
10/01/2023,39X1,-16.73
10/01/2023,52X1,-20.54
10/01/2023,65X1,-22.71
10/01/2023,91X1,-24.62
10/01/2023,130X1,-35.1
10/01/2023,195X1,-31.8
10/01/2023,260X1,-38.71
10/01/2023,390X1,-26.88
10/01/2023,RR,NA
09/01/2023,RR,NA
09/01/2023,TIIE,26.45
09/01/2023,3X1,26.02
09/01/2023,6X1,36.02
09/01/2023,9X1,45.88
09/01/2023,13X1,41.32
09/01/2023,26X1,5.06
09/01/2023,39X1,-17.53
09/01/2023,52X1,-23.94
09/01/2023,65X1,-25.86
09/01/2023,91X1,-26.98
09/01/2023,130X1,-31.93
09/01/2023,195X1,-30.21
09/01/2023,260X1,-37.51
09/01/2023,390X1,-28.81
06/01/2023,TIIE,25.9
06/01/2023,3X1,27.02
06/01/2023,6X1,38.02
06/01/2023,9X1,48.18
06/01/2023,13X1,45
06/01/2023,26X1,9.92
06/01/2023,39X1,-7.93
06/01/2023,52X1,-10.61
06/01/2023,65X1,-13.41
06/01/2023,91X1,-16.02
06/01/2023,130X1,-22.43
06/01/2023,195X1,-19.84
06/01/2023,260X1,-22.58
06/01/2023,390X1,-8.33
06/01/2023,RR,NA
05/01/2023,RR,NA
05/01/2023,TIIE,27.8
05/01/2023,3X1,23.75
05/01/2023,6X1,40.85
05/01/2023,9X1,51.4
05/01/2023,13X1,48.78
05/01/2023,26X1,9.68
05/01/2023,39X1,-7.67
05/01/2023,52X1,-10.11
05/01/2023,65X1,-12.95
05/01/2023,91X1,-19.66
05/01/2023,130X1,-24.23
05/01/2023,195X1,-15.86
05/01/2023,260X1,-14.52
05/01/2023,390X1,-1.37
04/01/2023,TIIE,28.63
04/01/2023,3X1,24.23
04/01/2023,6X1,39.42
04/01/2023,9X1,49.71
04/01/2023,13X1,45.5
04/01/2023,26X1,7.76
04/01/2023,39X1,-9.9
04/01/2023,52X1,-13.94
04/01/2023,65X1,-13.24
04/01/2023,91X1,-19.72
04/01/2023,130X1,-26.48
04/01/2023,195X1,-16.94
04/01/2023,260X1,-13.3
04/01/2023,390X1,-1
04/01/2023,RR,NA
03/01/2023,RR,NA
03/01/2023,TIIE,28.7
03/01/2023,3X1,23.25
03/01/2023,6X1,41.08
03/01/2023,9X1,52.3
03/01/2023,13X1,48
03/01/2023,26X1,16.04
03/01/2023,39X1,-8.56
03/01/2023,52X1,-12.85
03/01/2023,65X1,-10.37
03/01/2023,91X1,-17.26
03/01/2023,130X1,-20.33
03/01/2023,195X1,-10.76
03/01/2023,260X1,-12.38
03/01/2023,390X1,4.17
02/01/2023,TIIE,53.75
02/01/2023,3X1,34.38
02/01/2023,6X1,43.44
02/01/2023,9X1,53.25
02/01/2023,13X1,48.78
02/01/2023,26X1,20.75
02/01/2023,39X1,0.86
02/01/2023,52X1,-8.48
02/01/2023,65X1,-7.02
02/01/2023,91X1,-10.8
02/01/2023,130X1,-12.62
02/01/2023,195X1,-5.54
02/01/2023,260X1,-6.24
02/01/2023,390X1,10.2
02/01/2023,RR,NA
30/12/2022,RR,NA
30/12/2022,TIIE,51
30/12/2022,3X1,32.41
30/12/2022,6X1,41.52
30/12/2022,9X1,50.33
30/12/2022,13X1,44.24
30/12/2022,26X1,19.78
30/12/2022,39X1,-0.05
30/12/2022,52X1,-11.67
30/12/2022,65X1,-9.08
30/12/2022,91X1,-14.27
30/12/2022,130X1,-15.62
30/12/2022,195X1,-6.04
30/12/2022,260X1,-7.24
30/12/2022,390X1,7.31
29/12/2022,TIIE,66.05
29/12/2022,3X1,39.3
29/12/2022,6X1,44.08
29/12/2022,9X1,54.92
29/12/2022,13X1,49.19
29/12/2022,26X1,18.47
29/12/2022,39X1,-3.31
29/12/2022,52X1,-13.57
29/12/2022,65X1,-12.39
29/12/2022,91X1,-17.92
29/12/2022,130X1,-20.64
29/12/2022,195X1,-14.88
29/12/2022,260X1,-14.15
29/12/2022,390X1,-1.69
29/12/2022,RR,NA
28/12/2022,RR,NA
28/12/2022,130X1,-19.81
28/12/2022,195X1,-14.02
28/12/2022,260X1,-13.33
28/12/2022,390X1,-4.77
28/12/2022,TIIE,61.2
28/12/2022,3X1,35.62
28/12/2022,6X1,42.62
28/12/2022,9X1,54.07
28/12/2022,13X1,46.28
28/12/2022,26X1,24.8
28/12/2022,39X1,4.39
28/12/2022,52X1,-5.9
28/12/2022,65X1,-6.82
28/12/2022,91X1,-14.42
27/12/2022,TIIE,65.45
27/12/2022,3X1,33.43
27/12/2022,6X1,38.4
27/12/2022,9X1,48.07
27/12/2022,13X1,38.74
27/12/2022,26X1,18.3
27/12/2022,39X1,-5.61
